build_mode,search_depth,minimum_path_probability,optimize_baseline_weights,stage,candidate,games,mean_score,median_score,score_stddev,runtime_seconds,main_line,structural_stability,adverse_stuck,structural_displacement,empty_cells,monotonicity,smoothness,corner_preference,search_nodes,game_ms_per_move,cache_hit_rate
Release,4,0,true,1,10,3,17812,3768,25874.692191405873,73.020822917000004,23.482725430186719,0.57996186851518805,13.535703380420763,1.0389757298870532,49.102465157963934,66.480199457648894,25.964680168565721,31.295995081480775,517127064,27.430811154019533,0.5188978236375581
Release,4,0,true,1,11,3,75922.666666666672,77584,7154.16559308864,569.91219308300003,7.8650722586171868,0.48836036436299535,4.4943734908073942,9.1953597618190823,66.804881341478691,22.016219777019696,61.670413553426748,38.946025727137226,1923696746,54.215387346936836,0.52001767357815809
Release,4,0,true,1,12,3,44912,36448,23223.151551845844,209.07029625000001,1.8597112434721237,0.11417293741318223,2.7598132223557919,0.67449452238562391,35.824836848894172,66.809783739145047,68.456670811630644,34.98122294937243,1448331712,31.919123905801523,0.5367014652716745
Release,4,0,true,1,13,3,54128,51008,18720.026068357918,292.264638375,1.0611960169196821,0.17224967496677712,3.2820089332242652,13.022632092071051,80.959291682117922,31.343405142568127,40.389146694902401,41.250776037898866,1644753918,37.023640792627319,0.53425019435510557
Release,4,0,true,1,14,3,43206.666666666664,37588,31237.314182453862,261.92768745799998,0.68328140652758751,0.17535661671418115,2.5149989083177879,0.94756562897794505,70.896444437310763,79.068800058261232,27.981596426116688,29.21266279244286,1417465360,40.875104641385761,0.53739499658666623
Release,4,0,true,1,15,3,54872,57060,18244.665631356471,367.80945420799998,8.4415358442392456,0.53311087057191964,0.41620191413877394,8.8794326900464426,127.97543520710894,21.588309295311038,27.53666810199071,16.110012351261954,1726768425,47.124844319795002,0.53406374636682341
Release,4,0,true,1,16,3,65518.666666666664,78652,24609.963619098125,385.08821191700002,1.3271797037713833,1.4997226573344973,0.56692654584522784,6.5072398403914784,85.83709377587607,18.272885695036496,61.111683698874849,36.357974357539042,1695352654,41.207936124451585,0.51996338153463029
Release,4,0,true,1,17,3,56090.666666666664,61076,26069.987750924112,401.37406108300002,1.3903310229706454,0.92265066022442754,10.694539180682135,2.6284903058906073,71.455938584434463,49.772993955593641,24.255684863448284,50.360077701424878,1748373217,50.209411021766314,0.53607643835874608
Release,4,0,true,1,18,3,50621.333333333336,37908,26676.102363976137,323.86622162499998,1.2637891739434486,2.6080939000989516,1.0136965261464681,1.2845898588962799,92.135383620071821,54.114025607702956,41.385641297024677,17.675486290784406,1485400962,43.425338076696164,0.5314188526808038
Release,4,0,true,1,19,3,48902.666666666664,36388,24905.791240860697,354.56559537499999,9.9615057997250442,0.45635797215021739,7.4748044608692528,8.3079344842408283,70.113164025622581,64.649024271425247,20.648977445555758,29.868937815080063,1611073514,49.437472990936975,0.53348150332752187
Release,4,0,true,1,20,3,82605.333333333328,78412,27479.022495957408,469.38743862500002,5.11313839695128,0.17989875105919867,8.3229390716132308,2.7689463019887008,73.142228226631261,50.842389383111623,50.17468229829953,20.936483845014227,2108212274,43.138259289954966,0.52362189132636838
Release,4,0,true,1,21,3,60784,64672,21892.483458940878,407.742607292,0.63732538684290374,0.2114326427563927,2.941226797468838,6.1883724749406372,69.147329581104444,60.015568325302198,31.076467823783609,41.262983242470028,1832344064,46.668487562435622,0.53096521942672625
Release,4,0,true,1,22,3,63364,76948,24789.235405715925,480.90281049999999,2.1110543105141502,2.5397380335974278,0.27932366158044519,1.8743335266836052,51.312104504257526,75.704887935841555,53.320569730168991,24.338694572025361,1754152175,53.648235534694336,0.52749185640517127
Release,4,0,true,1,23,3,27344,23756,9917.3601326159369,680.96786891700003,2.9507808366427155,9.4844937625838099,3.306834334788912,0.47262988849518156,67.232289233622311,46.101686490444372,47.261822791633207,34.670168936458516,892947344,154.20467152581523,0.53825418639162403
Release,4,0,true,1,24,3,44240,37048,13254.570834244314,1122.8011859999999,1.1611198473101283,1.0353114897584652,2.9714948705563557,0.29313291753771248,106.12483405148645,44.225536591380099,25.655913437311803,30.01336306932803,1438665421,170.61254376234618,0.5384984452009105
Release,4,0,true,1,25,3,56885.333333333336,60792,17580.615385512912,220.98793162499999,5.455859629250277,2.862251663369896,18.821954293841792,1.412472252459019,67.344682171093197,35.212637285771109,33.843834323549508,46.527014655334256,1569960045,27.151729762992996,0.52569046668223196
Release,4,0,true,1,26,3,57344,58640,4246.9904638461339,279.98668362500001,2.4864970744953467,1.2976206951540912,1.813364232106897,1.078753121283077,65.211673156522622,34.672635240169633,80.190049811046791,24.730112943890589,1735077979,35.276131404686907,0.53524734374037308
Release,4,0,true,1,27,3,30005.333333333332,35632,11138.43747270385,196.13918520799999,1.4549868728929078,0.2310082269947088,1.9329551146715545,10.360143901672023,107.51526770472223,47.202945699621033,21.050385263671512,21.733013490423094,1129180550,40.507883149111933,0.54345549846276864
